front_text,back_text
fit,"pasować, zgadzać się, montować, mocować, być w formie, mieścić się, wyposażyć, dopasować, odpowiedni, właściwy, napad, atak"
weapons,broń
satisfaction,"satysfakcja, zadowolenie"
irish,"Irlandczyk, Irlandka, irlandzki"
exact,"dokładny, precyzyjny, dokładnie"
strategic,strategiczny
threat,"zagrożenie, groźba"
taxation,"opodatkowanie, nakładanie podatków"
tank,"zbiornik, czołg, tankować"
inquiry,"zapytanie, dochodzenie, ankieta, sondaż, wywiad"
heaven,"niebo, raj"
guidance,"porada, wytyczne, wskazówka, zalecenie, instrukcja, poradnictwo, pokierowanie"
australian,"Australijczyk, Australijka, australijski"
trend,"tendencja, trend, moda, tendencja rozwojowa, dążyć, zmierzać"
intermediate,"pośredni, przejściowy, średnio zaawansowany"
absolutely,"absolutnie, całkowicie, zupełnie, bezwarunkowo, koniecznie, oczywiście, w pełni"
breath,"oddech, dech, tchnienie"
contribute,"przyczyniać się, wnosić, dołożyć, wnosić wkład"
typically,"typowo, zazwyczaj"
depression,"depresja, obniżenie"
frequent,częsty
rendered,"oddawać, przedstawiać, renderować, wyrenderować, renderowany"
restricted,"ograniczony, restrykcyjny, ograniczać"
classical,"klasyczny, konwencjonalny"
destruction,"zniszczenie, destrukcja"
beneath,"pod, poniżej, pod spodem"
classified,"poufny, tajny, klasyfikowane, ogłoszenie drobne"
digital,cyfrowy
financing,finansowanie
trading,"handel, handlowy"
exclusive,"ekskluzywny, wyłączny, zastrzeżony"
strain,"napięcie, stres, szczep, odmiana, obciążenie, odkształcenie, napinać, naprężać, nadwyrężać, cedzić, przecedzić"
fellow,"kolega, znajomy, facet, pracownik naukowy"
respective,"odpowiedni, odnośny, indywidualny, poszczególny"
guilty,"winny, zawiniony"
furnished,"umeblowany, wyposażony, umeblowane"
surgery,"operacja, zabieg chirurgiczny, chirurgia, gabinet lekarski"
rank,"ranga, stopień, klasa, rząd, zaliczać, klasyfikować"
occasionally,"sporadycznie, czasami, okazjonalnie"
era,"era, epoka"
advisory,"doradczy, poradczy, ostrzegawczy, komunikat ostrzegawczy, doradztwo"
arise,"wstawać, powstawać, ukazywać się, wyłaniać się, wynikać, powstać"
accomplished,"znakomity, utalentowany, ukończony, wykonane"
residents,"mieszkaniec, mieszkańcy"
decline,"zanik, zanikanie, spadek, upadek, spadać, maleć, odmawiać, odrzucać, odmowa"
incident,"wydarzenie, incydent, zajście, wypadek, zdarzenie"
electricity,"elektryczność, energia elektryczna"
declaration,"deklaracja, proklamacja, oświadczenie"
bishop,"biskup, goniec"
surely,"na pewno, z pewnością, niewątpliwie"
producers,"producent, producentka, wytwórca, producenci"
resolved,"rozwiązany, rozwiązywać, rozstrzygnąć, zdecydowany, zdeterminowany"
admission,"wstęp, wejście, wpuszczenie, dopuszczenie, przyjęcie, dostęp, przyznanie się, uznanie"
surrounding,"otoczenie, okoliczny, otaczający"
confirmed,"potwierdzony, potwierdzać, potwierdzić"
transformation,"transformacja, przekształcenie, przemiana, przetwarzanie"
moderate,"umiarkowany, powściągliwy, umiarkować, łagodzić, powściągać"
tobacco,"tytoń, tabaka, tytoniowy"
fingers,"palec, palce"
notion,"pojęcie, wyobrażenie"
gene,gen
pub,"pub, gospoda"
attended,"uczestniczyć, brać udział, uczestniczył"
characterized,"charakteryzowany, charakteryzować, cechować"
promotion,"promocja, awans"
logic,"logika, rozumowanie"
wing,"skrzydło, boczna część budynku, polityczne skrzydło"
currency,"waluta, powszechny zwyczaj, uznanie"
rail,"szyna, tor kolejowy, reling, barierka, kolej"
steady,"stały, stabilny, równomierny, umacniać, utrwalać"
negotiations,negocjacje
liver,"wątroba, wątróbka"
disability,"niepełnosprawność, niesprawność, inwalidztwo"
rarely,"rzadko, sporadycznie"
tension,"napięcie, naprężenie, stan napięcia, napiętość"
remarkable,"znakomity, wybitny, nadzwyczajny, niezwykły"
atomic,"atomowy, niepodzielny"
poet,"poeta, poetka"
adapted,"adaptowany, przystosowany, adaptować, dostosowany"
participate,"uczestniczyć, brać udział"
taste,"gust, smak, apetyt, smakować, upodobanie"
pupils,"uczniowie, uczennice, źrenice"
respond,"odpowiadać, reagować, odpowiadać na, responsorium"
prayer,"modlitwa, prośba"
survival,"przetrwanie, przeżycie"
impression,"wrażenie, odcisk, impresja, parodia, stempel, wycisk"
owing,"zaległy, dłużny, z powodu"
prominent,"wybitny, sławny, znaczący, widoczny, rzucać się w oczy, prominentny"
gap,"przerwa, dziura, luka, szczelina, odstęp"
narrative,"narracja, opowiadanie, narracyjny"
artist,"artysta, artystka"
illness,"choroba, schorzenie"
profession,"zawód, profesja, fach"
objection,"zarzut, sprzeciw, zastrzeżenie"
bull,"byk, bzdura"
rejected,"odrzucony, odrzucać, odmawiać"
governing,"rządzący, zarządzający, decydujący, normujący"
interstate,"międzystanowy, autostrada międzystanowa"
recall,"przypominać sobie, odwoływać, wzywać, pamięć, przywoływać, przypomnienie"
blind,"ślepy, niewidomy, żaluzja, ślepiec"
ward,"oddział, szpitalny, wychowanek, podopieczny"
constantly,"stale, nieustannie, ciągle, wciąż"
mounted,"zamontowany, osiodłany, jeździć konno, montować, oprawiony"
differ,"różnić się, różnić, być odmiennym, nie zgadzać się"
metropolitan,"wielkomiejski, metropolitalny, mieszkaniec metropolii, metropolita"
circular,"okrągły, okrężny, okólnik, obwieszczenie, ulotka reklamowa"
graduate,"absolwent, absolwentka, ukończyć"
assignment,"zadanie, praca domowa, przydzielenie, przydział, cesja, przeniesienie"
installed,"zainstalowany, zamontowany, instalować, montować"
genetic,genetyczny
miscellaneous,"rozmaity, różnorodny, różne"
score,"wynik, rezultat, partytura, dwudziestka, rachunek, naciąć, zdobyć, uzyskać"
virus,"wirus, wirus komputerowy"
experts,"ekspert, ekspertka, eksperci, znawca, fachowiec"
absent,"nieobecny, brakujący"
imperial,"cesarski, imperialny"
annually,"corocznie, rocznie, dorocznie"
sports,"sport, sporty"
taxable,"opodatkowany, podlegający opodatkowaniu"
accused,oskarżony
interval,"przedział, odstęp, interwał, przerwa"
achievement,"osiągnięcie, dokonanie, sukces"
newly,"niedawno, świeżo, dopiero co, nowo"
count,"liczyć, liczyć się, hrabia"
asian,"azjatycki, Azjata, Azjatka"
retained,"zachowany, utrzymany, zatrzymany, zatrzymywać"
curriculum,"program nauczania, plan nauczania, program"
proceeds,"wpływy, dochód, przebiegać, kontynuować"
filter,"filtr, filtrować, przesączać, odsączać"
afford,"pozwolić sobie, stać, oferować, dostarczać, stać się"
victory,"zwycięstwo, sukces"
burning,"piekący, palący, naglący, pilny, namiętny, rozpalony, spalanie, wypalanie, palenie"
specifications,"specyfikacja, specyfikacje, wymagania techniczne"
briefly,"krótko, zwięźle, pokrótce, krótko mówiąc"
awareness,"świadomość, uświadomienie, rozeznanie"
initially,"początkowo, wstępnie"
rough,"chropowaty, szorstki, nierówny, nieobrobiony, zgrubny, wstępny, pofalowany, burzliwy"
pump,"pompa, pompka, pompowanie, tłoczenie, pompować, tłoczyć, tryskać, nadmuchiwać, wypychać"
allowance,"kieszonkowe, dieta, zasiłek, ulga podatkowa, przydział, limit, uprawnienie, dodatek"
package,"pakunek, paczka, pakiet, zestaw, opakowanie, pakować, zapakować"
horizontal,"poziomy, horyzontalny"
silent,"cichy, milczący, niemy, bezgłośny"
occurrence,"zdarzenie, wydarzenie, występowanie, wystąpienie"
korea,Korea
phenomenon,zjawisko
trustees,"powiernicy, zarządcy, kuratorzy"
expanded,"rozszerzony, poszerzony, rozszerzać, poszerzać"
reliable,"niezawodny, godny zaufania, pewny, rzetelny"
preference,"preferencja, upodobanie, pierwszeństwo"
recover,"odzyskać, wyzdrowieć, dojść do siebie"
arc,"łuk, łuk elektryczny, tworzyć łuk, opadać łukiem"
fraction,"ułamek, część, odłamek, frakcja"
coefficient,współczynnik
tariff,"taryfa, cło, cennik, celny"
conservative,"konserwatywny, konserwatysta"
duke,"książę, pięść"
bibliography,bibliografia
moisture,"wilgoć, zawilgocenie"
aim,"celować, dążyć, cel, zamiar, skierować, mieć na celowniku"
organizational,organizacyjny
shortly,"wkrótce, niedługo, zaraz"
punishment,"kara, karanie, ukaranie"
voluntary,"dobrowolny, ochotniczy"
christmas,"Boże Narodzenie, Święta Bożego Narodzenia, Gwiazdka"
saint,święty
drainage,"drenaż, odwodnienie"
scholars,"uczeni, badacze, naukowcy"
organisation,"organizacja, stowarzyszenie, organizowanie"
complicated,"skomplikowany, złożony, trudny"
regulatory,"regulacyjny, nadzorczy"
institutional,"instytucjonalny, instytucyjny"
phrase,"fraza, zwrot, wyrażenie"
orientation,"orientacja, ukierunkowanie, rozmieszczenie"
arrival,"przybycie, przyjazd, przylot"
diversity,"różnorodność, zróżnicowanie"
dramatic,"dramatyczny, teatralny, gwałtowny, nagły, krytyczny"
operational,"operacyjny, gotowy do akcji, funkcjonujący"
commodity,"towar, artykuł, surowiec"
dimensional,wymiarowy
breast,"pierś, sutek, biust, piersi"
sin,"grzech, wykroczenie"
slope,"zbocze, stok, nachylenie, pochylać się"
conscious,"świadomy, przytomny"
rehabilitation,"rehabilitacja, przywracanie do zdrowia, odnowa"
calcium,wapń
overcome,"pokonywać, przezwyciężać, opanować, pokonany, przezwyciężony, pokonać"
shaft,"dyszel, snop, drzewce, trzonek, wał, szyb, trzon"
favorable,"korzystny, przychylny, sprzyjający, dogodny"
revision,"korekta, poprawka, rewizja, wersja, powtórka, zmiana"
republican,"republikański, republikanin"
calculation,"rachunek, obliczenie, kalkulacja"
decree,"dekret, dekretować"
sleep,"spać, sen, spanie"
moscow,Moskwa
chronic,"przewlekły, chroniczny, notoryczny"
afterwards,"potem, później, następnie"
anxiety,"lęk, niepokój, trwoga, obawa, zatroskanie"
subcommittee,"podkomisja, podkomitet"
distant,"daleki, odległy, zdystansowany"
reflection,"odbicie, refleksja, namysł, zastanowienie, odzwierciedlenie"
coastal,"przybrzeżny, nadbrzeżny"
tongue,"język, ozór, mowa potoczna"
dairy,"mleczarnia, sklep mleczny, nabiał, nabiałowy, mleczny"
technological,"techniczny, technologiczny"
translated,"przetłumaczony, tłumaczony, tłumaczyć, przetłumaczone"
warning,"ostrzeżenie, przestroga, ostrzegać"
stem,"łodyga, pień, trzon, temat słowotwórczy, rdzeń, nóżka, hamować, tamować, powstrzymywać, wynikać"
dean,"dziekan, dziekanka"
simultaneously,"jednocześnie, równocześnie"
researchers,"badacze, naukowcy"
wildlife,"dzika przyroda, fauna"
switch,"przełącznik, włącznik, zwrotnica, przełączać, zmieniać"
harbor,"port, przystań, schronienie, azyl, ukrywać, przechować, być siedliskiem, żywić"
powder,"proch, proszek, puder, proszkować"
provincial,"prowincjonalny, regionalny, prowincja"
racial,"rasowy, rasistowski, odnoszący się do rasy"
confusion,"konfuzja, zmieszanie, zamieszanie"
sensitivity,"wrażliwość, czułość, wyczulenie, wnikliwość, wrażliwy"
totally,"całkowicie, zupełnie, totalnie"
photographs,"fotografie, zdjęcia"
cement,"cement, cementowy, cementować"
lieutenant,"porucznik, porucznik marynarki, kapitan marynarki"
routine,"procedura, zwykły, porządek, rutyna, rutynowy"
rational,"racjonalny, wymierny"
hidden,"ukryty, schowany, skryty"
utilization,wykorzystanie
solely,"wyłącznie, jedynie"
extraordinary,"niezwykły, nadzwyczajny"
entity,"istota, jednostka, osoba, podmiot, encja"
vector,"wektor, nosiciel"
bargaining,"negocjacje, targowanie się, targowanie"
prisoners,"więźniowie, osadzeni"
emperor,cesarz
nodded,"skinąć głową, skinął, kiwnął"
interference,"wtrącanie się, ingerencja, zakłócenie, interferencja"
molecules,cząsteczki
historic,historyczny
syndrome,"syndrom, zespół"
residential,"mieszkaniowy, mieszkalny"
neutral,"neutralny, obojętny"
bulk,"wielkość, masa, większość, hurt, duży, ilość, objętość, masowo"
proposition,"propozycja, twierdzenie, założenie, zaproponować"
northwest,"północny zachód, północno-zachodni, na północny zachód"
systematic,"systematyczny, planowy, uporządkowany"
serum,surowica
remainder,reszta
partially,częściowo
eliminate,"eliminować, wykluczać, likwidować, zlikwidować, wyeliminować"
biology,biologia
mayor,"burmistrz, prezydent miasta"
taxpayer,podatnik
comfort,"komfort, wygoda, udogodnienie, otucha, pociecha, zapewniać, pocieszać"
productive,"wydajny, produktywny, urodzajny, płodny, owocny"
interface,"interfejs, sprzęgać, łączyć"
victim,ofiara
brazil,Brazylia
platform,"peron, platforma, podium, platforma polityczna"
suspension,"zawieszenie, wstrzymanie, suspensja"
demonstration,"demonstracja, pokaz, udowodnienie, wykazanie"
universe,wszechświat
possess,"posiadać, mieć, opętać"
diagram,"diagram, wykres, schemat"
pale,"blady, wyblakły, słaby, kiepski, blednąć, zblednąć"
colony,kolonia
secret,"sekret, tajemnica, sekretny, tajemniczy"
simulation,"udawanie, symulacja"
deed,"czyn, uczynek, akt prawny, dokument, wyczyn, postępek, akt"
immigration,imigracja
sacred,"święty, uświęcony, poświęcony, nienaruszalny, sakralny"
altogether,"całkowicie, zupełnie, razem, ogółem, łącznie"
tract,"traktat, rozprawa, połać, obszar, przewód, trakt"
jean,"drelich, dżins, jeansowy, dżinsowy"
reputation,"reputacja, dobre imię"
wright,"fachowiec, wykonawca, mechanik, rzemieślnik"
organ,"narząd, organ, organy, organ wykonawczy, organ władzy,"
varies,"różnić się, wahać się, zmieniać się, różni się"
ethics,etyka
publishers,wydawcy
preserved,"zachowany, konserwowany"
termination,"zakończenie, wygaśnięcie, rozwiązanie umowy, aborcja, rozwiązanie"
exploration,"badanie, eksploracja"
con,"oszukiwać, nabierać, naciągać, przekręt, skazaniec, oszustwo, więzień"
transit,"przejazd, przewóz, tranzyt, przejeżdżać, przewozić, transportować, tranzytowy"
escape,"ucieczka, uciekać, unikać, ulatywać"
lumber,"tarcica, wycinać, wycinka, człapać, drewno"
preservation,"zachowanie, ochrona, zakonserwowanie, konserwacja"
allocation,"przydział, przydzielenie, przysądzenie, alokacja, umiejscowienie, przeznaczenie"
indication,"znak, wskazówka, oznaka, wskazywanie, oznaczanie, wskazanie"
merchant,"kupiec, handlarz, handlowiec, kupiecki, handlowy"
algorithm,algorytm
personally,osobiście
incidence,"częstość, częstotliwość, padanie, częstość występowania"
massive,"masywny, ogromny"
diffusion,"rozprzestrzenianie, rozpowszechnianie, dyfuzja, rozpraszanie"
breeding,"hodowla, rozmnażanie, wychowanie"
baker,"piekarz, piekarka"
darkness,"ciemność, mrok"
remedy,"lekarstwo, remedium, środek zaradczy, zaradzać"
inhabitants,mieszkańcy
protective,ochronny
arbitration,arbitraż
grave,"grób, poważny"
gravity,"grawitacja, ciążenie, siła ciężkości, powaga"
anger,"gniew, złość, oburzenie, gniewać, denerwować, irytować"
intense,"intensywny, natężony, gwałtowny, silny"
definitely,"zdecydowanie, bez wątpienia, na pewno, niewątpliwie"
indirect,pośredni
arrest,"areszt, zatrzymanie, aresztować, zatrzymać, powstrzymać, aresztowanie"
dividends,dywidendy
purely,"wyłącznie, jedynie, tylko, całkowicie, zupełnie, czysto"
deficiency,"wada, brak, niedobór, niedostatek"
comply,"dostosować się, zastosować się, przestrzegać"
discourse,"rozprawa, dyskurs"
encountered,"napotkać, napotkany, spotkać, napotkane"
ordinance,"zarządzenie, rozporządzenie"
earl,hrabia
majesty,majestat
sole,"podeszwa, jedyny"
negligence,"zaniedbanie, niedbalstwo, lekceważenie, opieszałość"
scattered,"rozproszony, rozsiany, rozrzucony"
coordination,"koordynacja, koordynowanie, współdziałanie"
pregnancy,ciąża
exemption,zwolnienie
format,"format, formatować"
tends,"opiekować się, pielęgnować, mieć tendencję, ma tendencję"
dozen,"tuzin, dwanaście"
satellite,satelita
priest,"kapłan, duchowny, ksiądz"
civilian,"cywil, cywilny"
tiny,"maleńki, malutki"
uncertainty,niepewność
rotation,"obrót, rotacja"
premium,"premia, bonus, dopłata, składka ubezpieczeniowa, premiować, o wysokiej jakości, luksusowy, premium"
widespread,"powszechny, rozpowszechniony"
somehow,jakoś
correction,"korekta, poprawka, poprawa"
defects,"wada, usterka, dezertować, wady"
nutrition,"żywienie, odżywianie"
sweden,Szwecja
proud,dumny
emission,emisja
brick,"cegła, klocek, ceglany, unieruchomić"
crystal,"kryształ, krystaliczny, przejrzysty"
lab,"laboratorium, pracownia, laboratoryjny"
thy,twój
equality,równość
neighborhood,"sąsiedztwo, okolica, otoczenie, dzielnica"
empirical,"empiryczny, doświadczalny"
loop,"pętla, oczko, szlufka"
worthy,"zasługujący, godny, wart, warty"
cargo,"ładunek, towar"
reliability,"niezawodność, wiarygodność"
chiefly,"przede wszystkim, głównie, zwłaszcza"
whereby,"przez co, dzięki czemu, na mocy czego"
mechanics,mechanika
sphere,"kula, sfera"
chloride,chlorek
peculiar,"osobliwy, nietypowy, dziwaczny, charakterystyczny, specyficzny, właściwy, szczególny"
monitor,"monitor, dyżurny, przyrząd, urządzenie, monitorować, nadzorować, obserwować, monitor"
attachment,"załącznik, przystawka, nasadka, zajęcie, przywiązanie"
ethical,etyczny
poland,Polska
receiver,"odbiornik, odbiorca, słuchawka, syndyk, paser, zarządca, likwidator, poborca"
aviation,lotnictwo
reconstruction,rekonstrukcja
configuration,konfiguracja
specialized,"wyspecjalizowany, specjalistyczny"
notwithstanding,"chociaż, pomimo, mimo, jednakże, niemniej jednak, niezależnie od"
lift,"winda, podnośnik, dźwig, wyciąg, podniesienie, podnosić, podnieść, dźwignąć, znosić, ukraść"
multi,"wielo, wielokrotnie, wielokrotny"
appreciation,"uznanie, docenienie, wdzięczność, zrozumienie"
spatial,przestrzenny
dealers,"handlarz, handlarze, diler, dilerzy, sprzedawca, sprzedawcy, dealerzy"
prosecution,"oskarżenie, oskarżać, ściganie, oskarżyciel, prokurator"
livestock,"zwierzęta gospodarskie, żywy inwentarz, bydło, zwierzęta hodowlane"
reservoir,"rezerwuar, zbiornik"
oxide,tlenek
analyzed,"analizować, analizowany, przeanalizowany"
prize,"nagroda, zdobycz, łup, cenić"
capture,"zdobycie, schwytanie, pojmanie, zbicie, kaptaż, zdobywać, chwytać, schwytać, pojmać, zbić, uchwycić, utrwalić, przechwycić"
restoration,"odtworzenie, odbudowa, przywrócenie, renowacja, restytucja"
deeper,"głębszy, bardziej intensywny"
pope,papież
southeast,"południowy wschód, południowo-wschodni, na południowy wschód"
lung,"płuco, płuca"
trail,"ścieżka, trop, szlak, śledzić, tropić"
honest,"uczciwy, szczery"
disclosure,"ujawnienie, zdemaskowanie"
organisms,"organizm, organizmy"
meanwhile,"tymczasem, w międzyczasie, przez ten czas"
constitutes,"stanowi, tworzy, zaliczać do"
rod,"pręt, pręcik, laska, wędka, oś, trzon"
freely,"swobodnie, do woli, bez ograniczeń"
zinc,"cynk, cynkować"
passion,"pasja, namiętność"
vacuum,"próżnia, odkurzacz, odkurzać"
urged,"nakłaniać, ponaglać, zachęcać, nalegał"
guaranteed,"gwarantowany, zapewniony, zagwarantowany"
rely,"polegać, liczyć"
array,"tablica, szyk, zastęp, rozmieszczać, ustawiać w szeregu"
civilization,cywilizacja
lectures,"wykład, wykłady"
glory,"chwała, sława, chluba, zaszczyt, wspaniałość, szczycić się, chwalić się"
thereto,"do tego, przy tym"
operative,"operatywny, operacyjny, czynny, sprawny, skuteczny, agent, funkcjonariusz"
intensive,intensywny
isolation,"izolacja, odosobnienie, osamotnienie, separacja, rozdzielenie, oddzielenie"
wherever,gdziekolwiek
manuscript,"rękopis, manuskrypt"
cognitive,"kognitywny, poznawczy"
handbook,"podręcznik, przewodnik, poradnik"
tin,"cyna, puszka, cynować, puszkować"
arises,"pojawiać się, powstawać, wynikać, powstaje"
hung,"powiesić, zawiesić, powieszony"
diverse,"różnorodny, rozmaity"
wholesale,"hurtowy, hurtowo, handel hurtowy, sprzedaż hurtowa"
dedicated,"oddany, dedykowany, wyspecjalizowany, przeznaczony, wydzielony"
christianity,chrześcijaństwo
occasional,"sporadyczny, okazjonalny, rzadki, przypadkowy"
frozen,"zmarznięty, mrożony, zamarły, w bezruchu, zamrożony"
greece,Grecja
pace,"krok, szybkość, tempo, inochód, chodzić, kroczyć"
courage,"odwaga, męstwo"
valuation,"ocena, wycena, taksacja, oszacowanie, szacunek"
protocol,"protokół, sporządzać, protokołować"
essence,"esencja, sedno, istota"
integrity,"integralność, niepodzielność, prawość, uczciwość"
quantitative,ilościowy
litigation,"spór, sprawa sądowa, proces sądowy, postępowanie sądowe"
primitive,"prymitywny, pierwotny, prosty"
emerged,"pojawić się, wyłonić się, pojawił się"
furnace,"piec, palenisko"
nearby,"pobliski, blisko, w pobliżu, nieopodal"
precision,"precyzja, dokładność, ścisłość"
unlikely,"nieprawdopodobny, mało prawdopodobny, wątpliwy, mało prawdopodobne"
departure,"odejście, odjazd, wyjazd, wyruszenie, odlot"
determines,"określa, ustala, decyduje"
extends,"rozszerzać, przedłużać, rozciągać, dziedziczyć, rozszerza"
workshop,"warsztat, pracownia, studio, szkolenie praktyczne"
disaster,katastrofa
integral,"całka, całkowy, integralny, nierozłączny"
consultation,"konsultacja, porada, wizyta u lekarza"
inserted,"wstawić, wkładać, umieszczać, wstawiony"
usage,"używanie, użycie, traktowanie, obchodzić się, zwyczaj, praktyka"
southwest,"południowy zachód, południowo-zachodni, na południowy zachód"
monetary,"pieniężny, walutowy, monetarny"
depreciation,"amortyzacja, deprecjacja, utrata wartości"
strip,"zdejmować, rozbierać, zdzierać, pozbawiać, pas, taśma, pasmo, pasek"
geology,geologia
threshold,"próg, granica, początek"
emotions,emocje
sponsored,"sponsorowany, finansowany"
plastic,"plastikowy, plastyczny, plastik, tworzywo sztuczne, karta płatnicza"
disk,"dysk, płyta, tarcza, koło, dyskietka"
surgical,"chirurgiczny, operacyjny"
outlined,"zarysować, nakreślić, szkicowo opisać, zarysowany, nakreślony"
habitat,"siedlisko, środowisko życia"
cubic,sześcienny
switzerland,Szwajcaria
folk,"lud, ludowy"
developmental,rozwojowy
graph,"wykres, graf"
austria,Austria
humanity,"człowieczeństwo, ludzkość"
breach,"pogwałcenie, naruszenie, złamanie, uchybienie, zerwanie, wyrwa, wyłom, pogwałcić, naruszać, złamać, zerwać, przerwać, wyłamać"
trace,"ślad, trop, poszlaka, śledzić, kalkować, odszukiwać"
critics,"krytycy, recenzenci"
geographical,geograficzny
fragments,fragmenty
carter,"furman, woźnica"
tropical,"tropikalny, zwrotnikowy"
verdict,"werdykt, orzeczenie, wyrok, opinia, zdanie"
negro,"czarny, Murzyn"
limestone,"wapień, wapienny"
inclusion,"wtrącenie, zawarcie, inkluzja, włączenie"
theology,teologia
cylinder,"cylinder, butla, walec"
bent,"zdolność, umiejętność, talent, zainteresowanie, skłonność, wygięcie, nagięcie, zgięty, wygięty, nieuczciwy, skorumpowany, homoseksualny"
firmly,"pewnie, mocno, stanowczo"
scholarship,"stypendium, erudycja"
irregular,nieregularny
theorem,twierdzenie
refusal,odmowa
infrastructure,infrastruktura
abundant,"obfity, liczny"
erosion,erozja
analytical,analityczny
buffalo,"bizon, bawół afrykański, bawół kafryjski, bawół przylądkowy, żubr, zmylić, otumanić, zastraszyć, polować na"
cultivation,"uprawa, kultywowanie, pielęgnowanie, doskonalenie, kształtowanie"
symposium,sympozjum
deposition,"dymisja, utrącenie ze stanowiska, detronizacja, poświadczenie, zeznanie na piśmie, osadzanie się, wytrącanie, osadzanie"
relates,"odnosi się, dotyczy"
broader,szerszy
slavery,niewolnictwo
upward,"w górę, wzwyż, górny, powyżej, skierowany ku górze"
emphasized,"podkreślać, akcentować, podkreślony"
slip,"ślizgać się, poślizgnąć się, wsuwać, nasuwać, poślizg, pomyłka, halka, angoba"
gospel,"ewangelia, dobra nowina, głosić"
silk,jedwab
accurately,"prawidłowo, właściwie, dokładnie, wiernie, ściśle, precyzyjnie"
dissolved,"rozpuścić, rozpuszczać się, rozwiązać, rozpuszczony, rozwiązany"
curious,"ciekawy, wścibski, ciekawski, dziwny, niezwykły"
dialogue,"dialog, rozmowa, rozmawiać"
placement,"umiejscowienie, posada, znalezienie pracy, umieszczenie"
merit,"zaleta, wartość, zasługa, zasługiwać, zasłużyć"
comparatively,"relatywnie, względnie, stosunkowo, w porównaniu"
finite,"ograniczony, skończony"
pole,"biegun, słup, pręt, tyczka, kijek, maszt, rura"
gasoline,benzyna
parliamentary,parlamentarny
atmospheric,"atmosferyczny, nastrojowy"
exempt,"zwolniony, zwalniać, wyłączony"
disabled,"niepełnosprawny, kaleki, ułomny"
buyer,"nabywca, kupiec, kupujący"
belgium,Belgia
selective,"selektywny, wybiórczy, krytyczny, wybredny, selekcyjny"
shallow,"płytki, miałki, powierzchowny, mielizna, płycizna"
thorough,"całkowity, dokładny, gruntowny, dogłębny"
offset,"wyrównywać, równoważyć, przesunięcie, kompensata, uskok"
mixing,"mieszanie, miksowanie"
substituted,"zastąpiony, zastępczy, zastąpić"
rigid,"sztywny, drętwy, nieustępliwy"
subscription,"prenumerata, subskrypcja, abonament, przedpłata, składka członkowska"
poultry,drób
combustion,spalanie
craft,"rzemiosło, rękodzieło, umiejętność, zręczność, statek powietrzny, pojazd"
absorbed,"wchłonięty, pochłonięty, wchłaniać, zaabsorbowany"
vegetation,"wegetacja, roślinność"
maturity,"dojrzałość, termin płatności, zapadalność, wykup, data"
infinite,"nieskończony, nieprzebrany, bezkresny, bezgraniczny"
accumulation,"akumulacja, nagromadzenie"
dual,"podwójny, dwoisty, dualny"
settings,"ustawienia, opcje"
arbitrary,"dowolny, arbitralny, samowolny, przypadkowy"
metabolism,metabolizm
insisted,"nalegać, upierać się, nalegał"
gay,"gej, homoseksualista, wesoły, gejowski, homoseksualny"
alloys,"stop, stopy"
duly,"należycie, na czas, w porę"
ignored,"ignorować, lekceważyć, zignorowany"
estimation,"oszacowanie, ocena, wycena, szacowanie"
elevation,"wzniesienie, uniesienie, wysokość nad poziomem morza, elewacja, wywyższenie, wysokość"
specially,"specjalnie, wyjątkowo, szczególnie, odrębnie"
inspired,"inspirować, zainspirowany, natchnąć, natchniony"
giant,"olbrzym, gigant, ogromny, gigantyczny, człowiek-olbrzym, olbrzymi"
explicit,"wyraźny, bezpośredni, jawny"
methodology,"metodologia, metodyka"
mercury,"rtęć, Merkury, posłaniec"
variance,wariancja
passive,"bierny, pasywny"
defend,bronić
elimination,"eliminacja, usunięcie, odrzucenie, wykluczenie"
vicinity,"okolica, sąsiedztwo, bliskość"
parking,"parking, parkowanie, zaparkowanie, parkingowy, parking"
tale,"opowieść, bajka"
bare,"nagi, goły, obnażony, obnażać, tylko, zaledwie, nagie"
retention,"zatrzymanie, zatrzymywanie, retencja"
thereon,"na tym, przy tym, po czym"
custody,"opieka, kuratela, dozór, zatrzymanie, areszt, trzymanie, pod strażą, kustodia"
oxidation,"utlenianie, oksydacja"
artistic,artystyczny
geography,geografia
wounded,"ranny, poszkodowany"
inevitable,"nieuchronny, nieunikniony"
enzyme,enzym
mild,"łagodny, umiarkowany"
signature,"podpis, sygnatura, arkusz wydawniczy"
prejudice,"uprzedzenie, stronniczość, przesąd, krzywda, uszczerbek, szkodzić, krzywdzić, uprzedzać"
calm,"uspokajać, uciszać, koić, spokojny, spokój, flauta"
weakness,"słabość, słaba strona, słaby punkt, pięta achillesowa, osłabienie"
agenda,"agenda, terminarz, porządek obrad, program, plan"
displacement,"przemieszczenie, wyparcie, wypieranie, wyporność, zastąpienie"
protest,"protest, protestować"
lens,"soczewka, obiektyw"
potassium,potas
documentation,dokumentacja
testament,"testament, zapis"
minimal,minimalny
anterior,"przedni, poprzedni, wczesny"
alike,"podobnie, jednakowo, podobny"
sympathy,"współczucie, sympatia"
acknowledged,"uznać, przyznać, potwierdzić, uznany, potwierdzone"
invasion,"inwazja, najazd"
server,"serwer, kelner, podawacz, serwować, taca, rozgrywający"
farther,"dalszy, dalej"
loud,"głośny, hałaśliwy, krzykliwy, głośno"
sword,miecz
