front_text,back_text
ash,"popiół, jesion"
successive,"kolejny, następny, następujący"
hazardous,"niebezpieczny, ryzykowny"
lifetime,"okres życia, czas życia, życie, żywot, dożywotni, całe życie"
dominated,"dominować, zdominować, zdominowany"
infected,"infekować, zainfekować, zainfekowany, zakażony"
electronics,elektronika
toxic,"toksyczny, trujący"
tuberculosis,gruźlica
extraction,"wydobycie, ekstrakcja, pochodzenie"
regulated,"regulować, uregulować, regulowany"
gaze,"spojrzenie, wzrok, wpatrywać się, gapić się"
mobility,"mobilność, ruchliwość"
undertaking,"przedsięwzięcie, przedsiębiorstwo, obietnica, przyrzeczenie, zobowiązanie"
catalog,"katalog, katalogować"
ceiling,"sufit, strop, pułap, limit"
fabric,"tkanina, materiał, osnowa, struktura, konstrukcja"
scarcely,"ledwo, ledwie, zaledwie, prawie nie, rzadko"
vitamin,witamina
engagement,"zaręczyny, umówienie się, angaż, zaangażowanie"
decay,"rozkład, gnicie, zgnilizna, próchnica, ruina, degradacja, rozkładać się, gnić, podupadać, rozpadać się, zanikać, rozpad promieniotwórczy, rozpad"
frontier,"granica, graniczny, dziedzina"
pulmonary,płucny
allies,"sojusznicy, sprzymierzeńcy"
adequately,"adekwatnie, właściwie, odpowiednio, dostatecznie"
consulting,"konsulting, doradztwo, doradczy, konsultingowy, konsultacyjny"
prospective,"potencjalny, przyszły"
outlook,"perspektywy, spojrzenie, pogląd, prognoza, perspektywa"
assembled,"zmontować, zgromadzić, złożyć, zmontowany, zgromadzony"
collector,"kolekcjoner, zbieracz, inkasent, poborca, windykator"
actively,aktywnie
accommodation,"zakwaterowanie, przystosowanie, dostosowanie, akomodacja"
pitch,"boisko, murawa, tonacja, rzut, nachylenie, kąt nachylenia, reklama, prezentacja produktu, rzucać, cisnąć, namawiać, kołysać się"
flame,płomień
doses,"dawka, dawki"
enforce,"egzekwować, narzucać, wymuszać, wprowadzać w życie, popierać"
shareholders,"akcjonariusze, udziałowcy"
sharply,ostro
compiled,"kompilować, sporządzać, skompilować, skompilowany, sporządzony"
scottish,"szkocki, Szkot"
stimulation,stymulacja
courtesy,"grzeczność, uprzejmość, kurtuazja"
expedition,"wyprawa, ekspedycja"
independently,"niezależnie, samodzielnie"
promptly,"natychmiast, bezzwłocznie, niezwłocznie"
crack,"pęknięcie, szczelina, pękać, łamać, trzeszczeć"
korean,"koreański, Koreańczyk, Koreanka"
compression,"kompresja, ściskanie, uciskanie"
alternate,"naprzemiennie, alternatywny, zmienny, co drugi, zamiennik, zastępowy, wymieniać się, zastępować, wahać się, na zmianę"
corresponds,"korespondować, odpowiadać, zgadzać się, odpowiada"
neglect,"zaniedbanie, niedbalstwo, opuszczenie, pominięcie, lekceważenie, zaniedbywać, opuszczać, lekceważyć"
seller,"sprzedawca, sprzedawczyni"
spin,"kręcić, obracać, wirować, prząść, obrót, skręt"
prevailing,"przeważający, dominujący, panujący"
profound,"głęboki, wnikliwy, gruntowny"
erected,"wznosić, stawiać, wzniesiony"
packed,"zapakowany, zatłoczony, tłoczny, upakowany, spakowany"
cease,"przestać, zaprzestać, wstrzymać, ustać, przerwać, zakończyć"
compelled,"zmuszać, zmusić, zmuszony"
voters,wyborcy
withdrawn,"wycofany, wycofać się, odizolowany, zamknięty w sobie"
trunk,"tułów, kadłub, trzon, pień, trąba, kufer, skrzynia, bagażnik samochodowy, magistrala, bagażnik"
rejection,"odrzucenie, odmowa"
immigrants,imigranci
affirmative,"stwierdzenie, twierdzący, pozytywny, potwierdzający, potakujący, afirmatywny, zatwierdzać, potwierdzać"
sanitary,"sanitarny, higieniczny"
illustrates,"ilustruje, zobrazowuje"
timing,"wyczucie czasu, dobór momentu, timing, czas"
observer,"obserwator, obserwatorka"
spray,"spryskiwać, opryskiwać, rozpylać, mgiełka, sprej, spray, spryskiwacz, rozpylany"
assault,"napaść, atak, natarcie, szturm, napadać, atakować, nacierać, szturmować"
wilderness,"pustynia, pustkowie, głusza, odludzie, dzicz, puszcza, bezdroża"
reinforced,"wzmacniany, wzmocniony"
dense,"gęsty, zbity, zwarty, tępy"
literally,"dosłownie, niemal"
solvent,"rozpuszczalnik, wypłacalny"
accumulated,"nagromadzony, skumulowany, zgromadzony, skumulowane"
reed,"trzcina, stroik, instrument stroikowy"
workmen,"robotnicy, pracownicy"
devil,diabeł
span,"obejmować, mieć zasięg, rozciągać się, rozpiętość, przęsło, piędź"
dignity,godność
exceptional,"wyjątkowy, szczególny, nadzwyczajny"
interfere,"mieszać się, wtrącać się, majstrować przy czymś, przeszkadzać, przeciwdziałać, kolidować, przecinać się, krzyżować się, ingerenować"
fatal,"fatalny, straszny, ciężki, śmiertelny"
incentive,"bodziec, zachęta"
blade,"ostrze, brzeszczot, liść, blaszka, głownia, karkówka"
instructed,"zainstruowany, poinstruowany"
projection,"projekcja, przewidywanie, ekstrapolacja, rzut"
deer,jeleń
coarse,"gruboziarnisty, szorstki, grubiański, chamski"
modest,skromny
ritual,"rytuał, rytualny"
conscience,sumienie
profitable,"zyskowny, pożyteczny, korzystny, opłacalny"
consensus,"konsensus, zgoda, porozumienie"
symbolic,"symboliczny, symbolowy"
genius,"geniusz, talent, genialność"
intimate,"bliski, intymny, osobisty, kameralny, szczegółowy, bliski przyjaciel, zasugerować"
supplemental,"dodatkowy, uzupełniający, uzupełniać"
impressed,pod wrażeniem
wolf,wilk
surrender,"poddanie się, rezygnacja, wydanie, oddanie, ustąpienie, poddać się, zrzec się"
ideology,ideologia
exceeds,"przekracza, przewyższa"
conceived,"poczęty, zamierzony, pomyślany"
oath,"przysięga, przekleństwo, przysięgać"
tough,"twardy, trudny, silny, wytrzymały, nieustępliwy, nieprzyjemny, niebezpieczny"
honorable,"zaszczytny, uczciwy, honorowy, szanowany"
mercy,"miłosierdzie, litość, łaska"
publicity,"rozgłos, reklama, rozreklamowanie"
reprinted,"przedrukowany, wznawiany"
sketch,"szkic, zarys, koncepcja, szkicować, skecz, karykatura, podsumowanie"
sophisticated,"złożony, skomplikowany, wyrafinowany, zaawansowany"
imprisonment,"więzienie, uwięzienie, pozbawienie wolności, kara pozbawienia wolności, wtrącenie do więzienia"
lowered,"obniżyć, obniżony, opuszczony"
pursuit,"pościg, pogoń, dążenie, zajęcie, praca, pasja"
descriptive,"opisowy, deskryptywny"
artery,"arteria, tętnica"
auditor,"audytor, rewident"
norms,"normy, standardy, reguły"
chancellor,"kanclerz, rektor"
flash,"błysk, rozbłysk, flesz, wiadomość z ostatniej chwili, lampa błyskowa, przelotny, błyskawiczny, błyskać, migotać"
dwelling,"mieszkanie, domostwo, siedziba, mieszkać"
appellate,"apelacyjny, odwoławczy"
temporarily,"tymczasowo, prowizorycznie"
dawn,"świt, początek, zaranie, świtać"
emergence,"pojawienie się, wyłonienie, formowanie, ujawnienie"
boiling,"wrzeć, gotować się, bardzo gorący, ekstremalny, gotowanie"
wit,"dowcip, humor, bystrość, inteligencja"
drain,"odpływ, studzienka, drenaż, drenażować, osuszać"
backward,"wstecz, zacofany, niechętny do postępu, od tyłu, do tyłu"
asserted,"twierdzić, utrzymywać, stwierdzać, stwierdzony, twierdził"
persistent,"wytrwały, uporczywy, stały, nieustępliwy, ciągły"
ample,"obszerny, obfity, wystarczający, rozległy"
breakdown,"awaria, załamanie, niepowodzenie, analiza, rozkład, przerwa"
thread,"gwint, nić, nitka, wątek, nawlekać, przewlekać, gwintować"
gradual,"stopniowy, sukcesywny, graduał"
prompt,"terminowy, punktualny, natychmiastowy, bezzwłoczny, szybki, podpowiadać, suflerować, doprowadzać, podpowiedź, sugestia, zachęta, tekst"
secondly,po drugie
hollow,"pusty, wydrążony, stłumiony, głuchy, wgłębienie, dziura, dziurawić, wydrążyć, nieszczery"
spare,"zapasowy, dodatkowy, oszczędny, zapas, rezerwa, oszczędzać, szczędzić, unikać, oszczędzić, darować"
rocky,"skalisty, burzliwy, nierówny, chwiejny, kamienisty"
ignorance,"ignorancja, niewiedza"
terminated,"zakończyć, zakończony, przerwany, zakończone"
corruption,"demoralizacja, zepsucie, deprawacja, korupcja, uszkodzenie"
enrolled,"zapisany, zarejestrowany, zapisać się"
compulsory,"obowiązkowy, przymusowy, nakazowy"
consultant,"konsultant, konsultantka, doradca, doradczyni"
shield,"tarcza, osłona, ochraniać, osłaniać"
morality,moralność
relieved,"odczuwać ulgę, odczuwający ulgę, ulgiony, ulżyć, ulżony"
repealed,"uchylony, zniesiony"
evolved,"ewoluował, rozwinął się"
shed,"szopa, zrzucać, pozbywać się, otrząsać się, kapać, ściekać, rozlewać, przelewać"
violated,"naruszony, pogwałcony, złamany"
relaxation,"relaksacja, relaks, odprężenie, rozluźnienie"
offence,"przestępstwo, wykroczenie, faul, uraza, obraza"
competence,"kompetencja, fachowość, sprawność"
realization,"świadomość, wykonanie, realizacja, urzeczywistnienie"
sustainable,"zrównoważony, trwały, możliwy do utrzymania"
alteration,"zmiana, modyfikacja, przebudowa, przeróbka, alteracja"
costly,"kosztowny, drogocenny"
suppressed,"tłumiony, stłumiony, powstrzymany, uciszony"
hybrid,"hybryda, mieszaniec, hybrydowy, krzyżówka"
refugees,"uchodźcy, uchodźczynie"
closure,"zamknięcie, zakończenie, domknięcie, zamykanie"
micro,mikro
outlet,"gniazdo, wylot, ujście, wypust, rynek zbytu, punkt sprzedaży"
advancement,"postęp, posuwanie się naprzód"
doubtful,"niepewny, wątpliwy"
midst,"środek, w środku"
spinal,"kręgowy, rdzeniowy, kręgosłupowy"
metric,"metryka, metryczny"
revelation,"rewelacja, odkrycie, objawienie"
coalition,"koalicja, przymierze, sojusz"
digest,"trawić, obmyślić, streścić, pojąć, porządkować, klasyfikować, streszczenie, trawienie"
subtle,"subtelny, delikatny, wyrafinowany"
sympathetic,"współczujący, okazujący współczucie, sympatyczny"
practitioners,praktycy
unconscious,"nieprzytomny, nieświadomy, nieświadomość"
vigorous,"silny, energiczny, pełen wigoru"
impulse,impuls
radar,radar
compatible,"kompatybilny, zgodny"
providers,"dostawca, usługodawca, dostawcy"
broadly,"z grubsza, ogólnie, szeroko"
constituents,składniki
generalized,uogólniony
keen,"zapalony, przenikliwy, bystry, chętny, zapalczy"
olive,"oliwka, kolor, oliwkowy"
swift,"jerzyk, nagły, prędki, szybki"
toxicity,toksyczność
conductor,"dyrygent, dyrygentka, konduktor, konduktorka, przewodnik"
mighty,"potężny, mocarny, cholernie, piekielnie"
sandstone,piaskowiec
sensory,"czuciowy, sensoryczny, zmysłowy"
throne,tron
unreasonable,"nierozsądny, niedorzeczny, bezsensowny, wygórowany, nadmierny"
peninsula,półwysep
investigators,"śledczy, badacze"
toll,"dzwonić, uderzać w dzwon, wybijać, dźwięk, strata, nieszczęście, opłata"
dominion,"panowanie, zwierzchnictwo, dominium"
grove,"gaj, lasek"
nest,"gniazdo, siedlisko, kryjówka, gniazdować, gnieździć się"
renaissance,"odrodzenie, renesans, Renesans"
aesthetic,"estetyczny, estetyka"
unanimous,"jednomyślny, jednogłośny"
conferred,"przyznany, nadany"
vibration,"drganie, wibracja"
ammonia,amoniak
economical,"ekonomiczny, oszczędny, gospodarny"
bass,"bas, gitara basowa, basowy"
peer,"przypatrywać się, przyglądać się, wpatrywać się, rówieśnik, szlachcic, par, członek Izby Lordów, kumpel"
residue,"osad, pozostałość, reszta"
cope,"radzić sobie, dać radę, znosić, walczyć"
pipeline,rurociąg
traits,"cechy, właściwości"
deliberately,"celowo, rozmyślnie, umyślnie"
scenario,"scenariusz, rozwój wypadków, ewentualność"
pioneer,"pionier, pionierka, być pionierem"
cemetery,cmentarz
sergeant,sierżant
grasp,"chwyt, chwytanie, pojmowanie, rozumienie, uchwyt"
inn,"gospoda, oberża, karczma, zajazd, tawerna"
fracture,"pęknięcie, złamanie, pękać, pęknąć, złamać się"
fame,"sława, rozsławić"
probe,"sonda, śledztwo, dochodzenie, sondować, badać, zgłębiać"
maternal,"matczyny, macierzyński, po matce, ze strony matki"
suppliers,dostawcy
sue,"pozywać, skarżyć, prosić o rękę, pozwanie"
sulfur,siarka
trauma,"uraz, trauma, obrażenie"
elite,"elita, elitarny"
immense,"ogromny, gigantyczny, olbrzymi, niezmierny"
buffer,"bufor, buforować, amortyzować"
charlotte,szarlotka
acceleration,"przyśpieszenie, akceleracja"
followers,"zwolennicy, naśladowcy, obserwujący"
relevance,"trafność, znaczenie, adekwatność"
split,"dzielić, rozszczepiać, pęknięcie, rozerwać, pęknięty, popękany, podział"
seminar,seminarium
intact,"nietknięty, nienaruszony, cały"
ascertain,"stwierdzać, upewniać się, ustalić"
granite,granit
susceptible,"podatny, wrażliwy"
merger,"fuzja, połączenie"
severity,"dotkliwość, surowość, nasilenie"
appraisal,"oszacowanie, ocena, wycena"
hierarchy,hierarchia
clerical,"biurowy, urzędowy, klerykalny, kanclerski"
influential,wpływowy
comprises,"zawiera, obejmuje"
peasants,chłopi
condemned,"potępiony, skazany"
dick,"penis, kutas, fiut, chuj"
prose,"proza, epika"
aggression,"agresja, napaść"
alongside,"obok, tuż obok, wspólnie z"
recreational,"rekreacyjny, wypoczynkowy"
surveillance,"inwigilacja, obserwacja, nadzór"
grief,"żal, smutek, żałoba"
dissolution,"rozpad, rozkład, rozwiązanie"
purity,"czystość, klarowność"
swept,"zamiatać, zmieciony"
mask,"maska, maseczka, maskować"
qualitative,jakościowy
hook,"hak, haczyk, pułapka, haka, zaczepić, zaczepiać, zahaczać"
payroll,lista płac
phosphorus,fosfor
simultaneous,"jednoczesny, równoległy, symultaniczny"
overseas,"zamorski, zagraniczny, za granicą"
finland,Finlandia
neutron,neutron
thrust,"pchać, pchnięcie, pchanie, napierać"
eagle,orzeł
refined,"wyrafinowany, dopracowany, wytworny, wykwintny, rafinować, oczyścić"
canyon,kanion
sentiment,"uczucie, sentyment, odczucie, nastroj"
blast,"podmuch, gwizd, wybuch, eksplozja, huczna impreza, wysadzać w powietrze, zawyć"
decomposition,"rozpad, rozkład, dekompozycja"
cellular,komórkowy
legend,legenda
sulphur,siarka
portugal,Portugalia
redemption,"wykup, spłacenie, odkupienie, zbawienie, spełnienie, dotrzymanie"
module,moduł
hygiene,higiena
supplementary,"dodatkowy, uzupełniający"
contempt,"pogarda, wzgarda, lekceważenie, odraza, obraza"
bankers,bankierzy
ventilation,"wentylacja, wietrzenie"
franchise,"franszyza, franczyza, koncesja, prawo wyborcze, udzielać"
stimulate,"stymulować, pobudzać, zachęcać"
politically,politycznie
homogeneous,jednorodny
collision,"zderzenie, kolizja"
swing,"kołysać się, huśtawka, huśtać"
hormone,hormon
alert,"czujny, zapobiegliwy, uważny, ostrzeżenie, alarmować, ostrzegać,alert"
detector,"wykrywacz, detektor"
transient,"przemijający, nietrwały, przejściowy"
anthropology,antropologia
anatomy,anatomia
initiation,inicjacja
assertion,"twierdzenie, zapewnienie, dochodzenie swego prawa, asercja"
palestine,Palestyna
efficacy,"efektywność, skuteczność"
inference,"wnioskowanie, wniosek, wywód"
doe,"łania, samica, królica, antylopa"
additionally,"dodatkowo, ponadto, co więcej"
descent,"pochodzenie, spadek, schodzenie, opadanie, pochyłość, zejście"
amino,"aminowy, grupa aminowa, aminokwas"
coil,"zwijać, nawijać, kręcić się, zwój, cewka, zwojnica, solenoid, induktor"
doubtless,"niewątpliwie, niewątpliwy, bez wątpienia"
innovative,innowacyjny
intersection,"skrzyżowanie, przecięcie, część wspólna, przekrój"
restraint,"umiar, powściągliwość, opanowanie, powstrzymanie, skrępowanie, uwięzienie"
penetration,"penetracja, przenikanie, wnikanie"
ballot,"głosowanie, karta do głosowania, głosować"
invisible,"niewidzialny, niewidoczny"
probation,"staż, okres próbny, kuratela nad przestępcą, probacja, okres próby"
disclosed,"ujawnić, ujawniony"
cane,"laska, trzcina cukrowa, bat"
electoral,wyborczy
burial,"pochówek, pogrzeb, zakopanie, zakopywanie"
carbonate,"węglan, nasycać dwutlenkiem węgla"
missile,"pocisk, rakieta"
allegations,"oskarżenia, zarzuty"
stern,"surowy, srogi, rufa, rygorystyczny"
citation,"cytat, cytowanie, wezwanie, pochwała"
generic,"ogólny, pospolity, uogólniony, niedokładny, nieprecyzyjny, generyczny, niemarkowy, rodzajowy"
implicit,"domyślny, ukryty, niewypowiedziany"
insulin,insulina
peru,Peru
cone,"stożek, szyszka, czopek"
subsidies,"subsydia, dotacje, subwencje"
moderately,"średnio, umiarkowanie"
utilize,"wykorzystywać, utylizować"
retreat,"wycofywać się, odwrót, ustronie, odpoczynek"
spine,"kręgosłup, kolec"
dock,"dok, dok portowy, basen portowy, dokować, wpłynąć do portu, ława oskarżonych, szczaw"
refuge,"azyl, schronienie, wyspa azylu"
cathedral,katedra
embassy,"ambasada, przedstawicielstwo dyplomatyczne"
tribute,"danina, haracz, hołd, trybut, wyrazy uznania"
attributable,"przypisywalny, możliwy do przypisania"
inclusive,"obejmować, zawierać, inkluzywny, ogólny, całościowy, globalny, łączny, włącznie z"
devised,"opracować, wymyślić, opracowany"
conditional,"warunkowy, zależny"
dorsal,grzbietowy
inequality,nierówność
founder,"założyciel, fundator, odlewnik, zatonąć, osiąść na mieliźnie, kulawić"
consecutive,"kolejny, następny"
magnesium,magnez
magistrate,"sędzia ,sędzia pokoju, magistrat"
biblical,biblijny
privately,prywatnie
pearl,perła
suppression,"ograniczenie, zakazanie, zduszenie, stłumienie, zatajenie, sędzia"
stake,"pal, kołek, kłonica, stawka, udział, obstawiać, ryzykować"
hart,jeleń
provisional,"tymczasowy, prowizoryczny"
civic,"miejski, obywatelski"
turnover,"obrót, rotacja, fluktuacja, utrata piłki"
psychiatry,psychiatria
rhetoric,"retoryka, retoryczny"
irradiation,"napromienianie, naświetlanie, napromieniowanie"
unchanged,"niezmieniony, bez zmian"
invariably,"niezmiennie, stale"
resigned,"zrezygnowany, zrezygnował"
rape,"gwałt, rzepak, gwałcić"
discrete,"oddzielny, odrębny, dyskretny, rozdzielny, izolowany"
wealthy,"majętny, zamożny, bogaty, zasobny"
alien,"cudzoziemiec, cudzoziemka, obcy, cudzoziemski"
nursery,"szkółka, żłobek, wylęgarnia, wychowalnia"
invalid,"niepoprawny, nieważny, błędny, niewłaściwy, inwalidzki, inwalida, zwolnić ze służby ze względu na stan zdrowia"
sage,"szałwia, mędrzec, mądry, rozważny"
cottage,"chata, chatka, domek letniskowy"
baptist,"baptysta, baptystyczny, chrzciciel"
complainant,"powód, powódka, strona powodowa, skarżący"
triangle,trójkąt
aqueous,"wodny, wodnisty"
brooks,"strumyk, potok, strumyki"
infectious,"zakaźny, zaraźliwy"
motivated,zmotywowany
efficiently,"skutecznie, efektywnie"
decisive,"decydujący, rozstrzygający, definitywny, zdecydowany, stanowczy"
concurrent,"równoczesny, jednoczesny, równoległy, współbieżny, zbieżny"
gazette,"dziennik, gazeta, dziennik urzędowy"
rebellion,"bunt, rebelia"
sanctions,sankcje
hardy,"wytrwały, wytrzymały, odporny, odważny, mężny"
hereafter,"odtąd, od tej pory, w przyszłości, w dalszej części"
democrats,"demokraci, Partia Demokratyczna"
indictment,"oskarżenie, akt oskarżenia"
dispersion,"dyspersja, rozproszenie, rozszczepienie, rozejście się"
analogous,analogiczny
conspiracy,"spisek, zmowa, konspiracja"
bailey,"dziedziniec, przedzamcze"
embrace,"uścisk, obejmować, przyjmować, objąć"
feasibility,"możliwość, wykonalność, prawdopodobieństwo"
heirs,"spadkobiercy, dziedzice"
slender,"szczupły, smukły, zgrabny, strzelisty, drobny, wąski, niewielki"
verification,"weryfikacja, sprawdzenie, potwierdzenie"
abortion,"aborcja, poronienie, przerwanie ciąży"
capitalist,"kapitalista, kapitalistyczny"
specialty,"specjalność, specjalizacja"
recruitment,"nabór, rekrutacja"
conquest,"podbój, konkwista, zdobycie"
partition,"podział, rozdział, rozbiór, partycja, dzielić, rozdzielać"
turbine,turbina
arctic,arktyczny
islamic,"islamski, muzułmański"
idle,"bezczynny, leniwy, bezużyteczny, nieważny, próżny"
optimum,"optimum, optymalny, korzystny"
bloody,"krwawy, zakrwawiony, cholerny, przeklęty, jak cholera"
offshore,"przybrzeżny, morski, zagraniczny, na pełnym morzu, przenosić produkcję za granicę"
confronted,"skonfrontowany, postawiony w obliczu, konfrontować, stawiać w obliczu, konfrontowany"
popularity,popularność
reclamation,"odzyskiwanie, odzysk, rekultywacja, reklamacja"
inherited,"odziedziczony, dziedziczny, dziedziczony, odziedziczyć"
symmetry,symetria
carcinoma,"rak, nowotwór złośliwy"
rival,"rywal, konkurent, przeciwnik, konkurencyjny, rywalizować, równać się"
marsh,"bagno, moczar, bagnisko"
tuition,"czesne, nauczanie, szkolenie"
substantive,"konkretny, rzeczowy, rzeczywisty, faktyczny, merytoryczny, rzeczownikowy"
sensor,"czujnik, matryca"
analogy,analogia
optional,"opcjonalny, dowolny, fakultatywny, nieobowiązkowy"
drift,"dryf, przesuwanie, odchylenie, nanos, dryfować, przemieszczać się, wędrować, błądzić"
prevalence,"rozpowszechnienie, powszechność, chorobowość"
intrinsic,"wewnętrzny, rzeczywisty, samoistny"
critique,"krytyka, recenzja, krytykować"
crane,"dźwig, żuraw, podnosić, wyciągać"
rim,"obrzeże, brzeg, krawędź, tworzyć obrzeże"
secular,"świecki, niereligijny"
hindu,"hinduski, hindus,hinduista"
psychiatric,psychiatryczny
wireless,"bezprzewodowy, radiowy, radioodbiornik, urządzenie nadawcze"
honourable,"zaszczytny, honorowy, uczciwy, czcigodny, szanowany"
materially,materialnie
hood,"kaptur, osłona, daszek przeciwsłoneczny, maska"
nuts,"orzechy, nakrętki, zwariowany"
cerebral,"mózgowy, intelektualny"
marital,małżeński
nitrate,azotan
exposition,"ekspozycja, wystawa"
registrar,"urzędnik stanu cywilnego, sekretarz uczelni, rejestrator, archiwariusz, inwentaryzator"
repetition,"powtórzenie, powtórka"
conspicuous,"oczywisty, rzucający się w oczy, widoczny, wyraźny"
madame,"pani, szanowna pani"
stack,"stos, sterta, stóg, komin, wieża, układać w stos, układać, ustawiać jeden na drugim"
thailand,Tajlandia
ram,"baran, taran, bijak, suwak, walić, taranować"
gauge,"wskaźnik, miernik, kaliber, rozstaw toru, mierz, mierzyć, oceniać, ustalać, kalibrować"
cavalry,"kawaleria, konnica, kawaleryjski"
quest,"poszukiwanie, wyprawa, zadanie, poszukiwać"
instantly,"natychmiast, bezzwłocznie, natychmiastowo, momentalnie"
excitation,"ekscytacja, pobudzenie, wzbudzenie, podniecenie"
pastor,"pastor, duszpasterz, proboszcz, pasterz"
caribbean,Karaiby
exterior,"zewnętrzny, strona zewnętrzna, zewnętrze, wygląd zewnętrzny, powierzchowność"
ban,"zakazać, zabronić, zakaz"
transparent,przezroczysty
preface,"wstęp, przedmowa"
cox,"sternik, sterować"
predominantly,"przeważnie, głównie"
annuity,"annuita, renta, opłata roczna"
carpenter,stolarz
fulfilled,"spełniony, zaspokojony, zrealizowany"
prescribe,"przepisywać, ordynować, zarządzać, nakazywać, przepisać"
eminent,"znakomity, wybitny, dostojny, godny"
displaced,"wysiedlony, przesunięty, wyparty, przesiedlony"
sensible,"rozsądny, sensowny, praktyczny"
causal,"przyczynowy, sprawczy"
utterly,"całkowicie, kompletnie, zupełnie"
patch,"łata, naszywka, plaster, łatka, poprawka, skrawek ziemi, łatać, naprawiać"
reimbursement,"zwrot kosztów, refundacja, rekompensata"
ether,eter
brigade,brygada
damn,"cholera, cholerny, przeklęty, cholernie, niech szlag trafi, niech diabli wezmą, przeklinać, potępiać, skazywać na piekło"
dept,"dział, departament, wydział, katedra"
layout,"układ, rozmieszczenie, rozplanowanie"
comptroller,"rewident, księgowy, kontroler finansowy"
vendor,"sprzedawca, dostawca, zleceniobiorca, handlowiec"
glands,"gruczoł, gruczoły"
contingent,"delegacja, kontyngent, warunkowy, zależny od, ewentualny, przypadkowy, uwarunkowany"
contraction,"kontrakcja, kurczenie się, skurcz, skurcz porodowy, skrót, forma skrócona"
pin,"szpilka, pinezka, bolec, zawleczka, przypiąć, spiąć, przymocować"
mandate,"mandat, upoważnienie, pełnomocnictwo, zlecenie, polecenie, nakładać obowiązek, upoważniać, zlecać"
resumed,"wznawiać, wznowić, wznowiony"
barley,jęczmień
lever,dźwignia
phd,"doktorat, doktor filozofii"
educators,"wychowawca, wychowawcy, pedagog, pedagodzy, nauczyciel, nauczyciele"
whatsoever,"cokolwiek, jakkolwiek, w ogóle"
opponents,"przeciwnik, przeciwnicy, oponent, oponenci"
deliberate,"zamierzony, rozmyślny, umyślny, celowy, świadomy, rozważny, przemyślany, powolny, niespieszny, deliberować"
medication,"kuracja, leczenie, lek, leki"
rectangular,prostokątny
viscosity,lepkość
originated,"wywodzić się, pochodzić, zapoczątkować, powstał"
calibration,"wzorcowanie, kalibracja"
capitol,"kapitol, budynek parlamentu"
scarce,"rzadki, deficytowy, niedoborowy, trudno dostępny"
traders,"handlarz, handlarze, kupiec, kupcy, trader, traderzy, handlowcy"
trinity,"troistość, trójca, trójka"
dissertation,"dysertacja, praca dyplomowa, praca doktorska"
jaw,szczęka
antigen,antygen
ranch,ranczo
erection,"wzwód, erekcja"
posed,"pozować, zadawać, stawiać, przedstawiać, pozowany"
mate,"kumpel, kolega, towarzysz, partner, małżonek, kojarzyć, łączyć w pary, rozmnażać się"
optimization,optymalizacja
rifle,"karabin, sztucer"
humble,"pokorny, skromny, upokarzać, poniżać"
savage,"dziki, okrutny, brutalny, bestialski, srogi, ostry, dzikus, poturbować, ostro skrytykować, zaatakować brutalnie"
drought,susza
obstruction,"przeszkoda, zator, obstrukcja"
scripture,"Pismo Święte, pismo, pisma, święty"
proximity,"bliskość, sąsiedztwo"
radioactive,"promieniotwórczy, radioaktywny"
retrieval,"odzyskiwanie, odczytywanie, pobieranie, wyszukiwanie"
nomination,"nominacja, nominowanie, wyznaczenie"
offenders,"przestępca, sprawca, wykroczeniowiec, przestępcy"
focal,ogniskowy
viable,"realny, wykonalny, zdolny do życia"
destiny,przeznaczenie
grip,"ściskać, chwytać, uchwycić, dosięgnąć, pasjonować, fascynować, uścisk, chwyt, kontrola, panowanie, zacisk, uchwyt, przyczepność"
limb,"kończyna, konar"
congregation,"zgromadzenie, kongregacja, zebranie"
harsh,"surowy, ostry, szorstki"
communism,komunizm
undergraduate,"student, studentka, student studiów licencjackich"
sail,"żeglować, płynąć pod żaglami, żagiel, rejs, żaglówka, żaglica"
therapist,"terapeuta, terapeutka"
polar,"polarny, podbiegunowy, biegunowy, polar"
openly,"otwarcie, jawnie"
imperative,"imperatyw, tryb rozkazujący, rozkazujący, pilny, konieczny"
tonnage,tonaż
revival,"odrodzenie, ożywienie, renesans"
query,"zapytanie, kwerenda, pytanie, zapytać, pytać, przesłuchać"
apex,"wierzchołek, szczyt, apeks"
altar,ołtarz
advisable,"wskazany, słuszny, celowy, wskazane"
vascular,naczyniowy
prairie,preria
anchor,"kotwica, rzucać kotwicę, kotwiczyć, przywiązywać"
sect,sekta
vacant,"wolny, pusty, nieobsadzony, opróżnić, opustoszeć"
overtime,"nadgodziny, nadgodzina, dogrywka"
compressed,"skompresowany, sprężony"
unstable,"niestabilny, niepewny, chwiejny, labilny"
stiff,sztywny
meantime,"w międzyczasie, tymczasem"
skull,czaszka
quotations,cytaty
fibre,włókno
authentic,"autentyczny, oryginalny, wiarygodny"
flora,flora
forthcoming,"nadchodzący, zbliżający się, nadchodzić, zbliżać się"
unlimited,nieograniczony
confidential,"poufny, zaufany, poufne"
superficial,"powierzchowny, powierzchniowy"
ass,"tyłek, dupa, osioł"
nick,"ksywa, pseudonim, skaleczenie, kraść, aresztować"
preventive,"zapobiegawczy, prewencyjny, profilaktyczny"
stabilization,stabilizacja
clarify,"wyjaśniać, wyjaśnić"
heretofore,"dotychczas, do tej pory"
weed,"chwast, marihuana"
precedent,precedens
battalion,batalion
morphology,morfologia
ceramic,"ceramika, ceramiczny"
