front_text,back_text
corps,"korpus, formacja, korpus dyplomatyczny"
bible,Biblia
quick,"szybki, bystry, nagły, szybko"
diagnosis,"diagnoza, rozpoznanie"
won,"wygrać, wygrał"
nursing,"pielęgniarstwo, pielęgnacja, pielęgniarski, pielęgnacyjny"
spain,Hiszpania
revealed,"ujawnić, ujawniony"
latin,"łacina, język łaciński"
collective,"grupowy, zbiorowy, spółdzielnia, kolektyw"
doctrine,doktryna
argued,"argumentować, spierać się, dowodzić, argumentował"
wealth,"bogactwo, majątek"
matrix,"macierz, matryca"
compliance,"zgodność, przestrzeganie, podatność"
substantially,"istotnie, znacznie, zasadniczo"
statistical,statystyczny
gradually,stopniowo
truly,"naprawdę, faktycznie, rzeczywiście"
host,"gospodarz, gospodyni, prowadzący, serwer, żywiciel, gościć"
guard,"strażnik, wartownik, ochroniarz, dozorca, chronić, strzec, pilnować, osłaniać"
rent,"wynająć, wynajmować, dzierżawić, najem, wynajem, dzierżawa, czynsz"
preferred,"preferowany, bardziej pożądany"
depending,"zależnie, w zależności"
filing,"archiwizacja, katalogowanie, wniosek, złożenie dokumentów, składanie"
banking,bankowość
wine,wino
thou,ty
replaced,"zastąpić, wymienić, zastąpiony"
personality,osobowość
voltage,"napięcie, napięciowy"
administrator,"administrator, zarządca, administrator"
petroleum,ropa naftowa
managed,"zarządzać, kierować, udać się, zdołać, zarządzany"
automatic,automatyczny
prepare,"przygotowywać, przygotować, sporządzać"
opposed,"sprzeciwiać się, być przeciwnym, przeciwny, sprzeczny, przeciwstawny, sprzeciwiający się"
grace,"gracja, wdzięk, łaska, względy, przyzwoitość, modlitwa przed lub po posiłku"
crown,"korona, wieniec, czubek, korona drzewa, władza, koronować, ukoronować, zwieńczać, wieńczyć"
weekly,"tygodnik, tygodniowy, cotygodniowy, tygodniowo, co tydzień"
integration,"integracja, łączenie, scalanie, asymilacja"
behaviour,"zachowanie, postępowanie"
statutory,"ustawowy, statutowy, prawnie określony"
treasurer,skarbnik
applies,"aplikować, stosować, odnosić się, dotyczyć, ma zastosowanie"
tone,"ton, dźwięk, odcień, tonacja, barwa, nadawać ton"
appropriation,"przywłaszczenie, przeznaczenie, asygnacja, przydzielenie"
screen,"ekran, wyświetlacz, osłona, ekranować, przesiewać"
liberty,"wolność, swoboda"
hydrogen,wodór
colorado,Kolorado
appellant,"apelant, odwołujący się, apelujący"
duration,"czas trwania, długość, okres"
abroad,"za granicą, zagranicą"
molecular,"molekularny, cząsteczkowy"
challenge,"wyzwanie, rzucać wyzwanie, kwestionować, podważać"
spectrum,"spektrum, widmo"
judicial,"sądowy, sądowniczy, sędziowski"
municipal,"miejski, gminny, komunalny"
nitrogen,azot
comparative,"porównawczy, względny, stosunkowy, stopień wyższy, przymiotnik"
subsequently,"później, następnie"
jewish,"żydowski, Żyd, Żydówka"
absorption,"absorpcja, wchłanianie"
empty,"pusty, opróżniać, opróżniać się"
encourage,"zachęcać, ośmielać, wspierać, wzmacniać, pobudzać"
commitment,"zaangażowanie, oddanie, zobowiązanie"
circulation,"obieg, krążenie, nakład, sprzedaż"
timber,"drewno, drzewo"
smooth,"gładki, jednolity, spokojny, bezproblemowy, naturalny, nieprzerwany, gładko, wygładzać, łatwość"
plasma,"plazma, osocze"
hereby,niniejszym
sodium,sód
delay,"zwłoka, opóźnienie, opóźniać, zwlekać"
domain,"posiadłość ziemska, dziedzina, królestwo, domena, obszar, zakres"
golden,"złoty, złocisty"
entrance,"wejście, wstęp, dostęp, wchodzenie, zachwycać, wprawiać w trans"
unusual,"niezwykły, nietypowy"
optical,"optyczny, wzrokowy"
fault,"wina, wada, defekt, usterka, winić, obwiniać"
refers,"odnosić się, odnosi się, nawiązywać"
architecture,architektura
wise,"mądry, rozważny"
offering,"oferta, propozycja, ofiara, datek"
pretty,"ładny, atrakcyjny, przyjemny, piękny, dość, całkiem, upiększać, ładna"
destroyed,"zniszczony, niszczyć, zniszczyć"
liable,"zobowiązany, podatny, odpowiedzialny"
correlation,"współzależność, korelacja, zależność"
gun,"broń, broń palna, pistolet, rewolwer, strzelba, zastrzelić, zestrzelić"
freight,"fracht, ładunek, frachtować, załadować, przewieźć"
fashion,"sposób, styl, moda, kształtować, modelować"
thermal,"termiczny, termalny, cieplny"
consisting,"składający się, złożony z, składać się"
ore,"ruda, rudy"
dust,"kurz, pył, proch, marność, odkurzanie, odkurzać, odpylać, wycierać kurz"
gender,"płeć, rodzaj, rodzaj gramatyczny, gender"
silence,"cisza, milczenie, uciszać, wyciszać, zmuszać do milczenia"
adjacent,"przyległy, przylegający, sąsiedni"
wet,"mokry, wilgotny, zwilżać"
russian,"rosyjski, Rosjanin, Rosjanka"
occupation,"zajęcie, zawód, okupacja"
calendar,kalendarz
seriously,"poważnie, gruntownie"
unity,jedność
intervention,"interwencja, ingerencja, zakłócanie, przeszkadzanie, wtrącanie się"
hit,"cios, uderzenie, przebój, uderzać, trafić"
chest,"klatka piersiowa, skrzynia, obudowa"
ion,jon
valve,"zastawka, zawór, wentyl"
productivity,"produktywność, wydajność"
adjusted,"dostosowany, skorygowany, dostosować, korygować"
charter,"karta, statut, przywilej, czarter, lot czarterowy, czarterować, wynajmować"
surplus,"nadmiar, nadwyżka, nadwyżkowy"
unfortunately,"niestety, nieszczęśliwie"
successfully,"skutecznie, udanie, pomyślnie, z powodzeniem"
lips,"warga, wargi, usta"
display,"wyświetlacz, ekran, monitor, przejaw, ekspozycja, wystawa, witryna, zobrazowanie, uwidocznienie, wyświetlać, eksponować, prezentować, manifestować"
shore,"brzeg, wybrzeże, podpora, podpierać"
colonel,pułkownik
journey,podróż
catholic,"katolicki, powszechny, uniwersalny"
flood,"powódź, zalew, potop, zalewać, zatapiać"
shell,"muszla, skorupa, skorupka, pancerz, łupina, powłoka, szkielet, zrąb, pocisk, granat, łuska, łuskać, ostrzeliwać"
lateral,"boczny, poprzeczny, lateralny"
passenger,"pasażer, pasażerka"
perfectly,"perfekcyjnie, idealnie, doskonale, znakomicie, całkowicie"
receipts,"pokwitowania, paragony, przychody"
straight,"prosty, bez zakrzywień, heteroseksualny, czysty, wprost, linia prosta, prosto"
zero,"zero, zerowy, żaden, zerować"
scotland,Szkocja
therein,"w tym, tamże, w nim, w tej sprawie"
remote,"zdalny, odległy, pilot zdalnego sterowania"
differential,"różnicowy, różniczkowy, różniczka, mechanizm różnicowy, dyferencjał, różnica"
pilot,"pilot, pilotka, sternik, pilotować, pilotowy"
inventory,"inwentarz, wykaz, spis, ekwipunek, zapasy"
gate,"brama, furtka, wyjście, bramka"
hoped,"mieć nadzieję, oczekiwać, miał nadzieję"
furniture,"meble, umeblowanie"
diet,"dieta, odżywianie, posiłek, być na diecie"
installation,"instalacja, montaż, wyposażenie"
synthesis,"synteza, syntezować"
conviction,"przeświadczenie, przekonanie, wyrok"
musical,"musical, muzyczny, muzykalny, melodyjny, musical"
shock,"szok, wstrząs, porażenie, kępa, pęk, stóg, szokować, wstrząsać"
deeply,"głęboko, gruntownie, wnikliwie"
random,"losowy, przypadkowy"
creative,"kreatywny, twórczy"
junior,"junior, osoba młodsza, młodszy, niski rangą, juniorski"
federation,"federacja, związek państw"
promise,"obietnica, przyrzeczenie, zobowiązanie, zapowiedź, obiecać, przyrzec, zobowiązać się, zapowiadać, zwiastować"
acceptable,"akceptowalny, dopuszczalny, do przyjęcia"
automobile,samochód
alive,żywy
chart,"wykres, mapa nawigacyjna, kreślić, rysować"
membrane,"błona, membrana"
sudden,"nagły, niespodziewany, nagle"
irrigation,"irygacja, nawadnianie"
roof,"dach, sklepienie, zadaszać, przykryć"
discretion,"dyskrecja, swoboda, dowolność, uznanie"
dominant,"dominujący, panujący, dominanta, dominować"
mortality,"śmiertelność, umieralność"
greek,"grecki, Grek, Greczynka"
helpful,"pomocny, użyteczny, życzliwy"
detection,"wykrywanie, detekcja"
wisdom,"mądrość, roztropność"
murder,"morderstwo, zabójstwo, mordować, zamordować"
serves,"służyć, podawać, obsługiwać"
artificial,"sztuczny, nienaturalny"
joy,"radość, przyjemność, zachwyt"
voting,"głosowanie, wybory"
roll,"bułka, rolka, turlać, toczyć się, rolować, zwijać, rzucać kośćmi"
invited,"zapraszać, zaprosić, zaproszony"
roman,"rzymski, Rzymianin, Rzymianka"
magnitude,"wielkość, rozmiar, ogrom, znaczenie, magnituda"
wholly,"całkowicie, zupełnie, w pełni"
pleased,"zadowolony, uradowany, mile zaskoczony"
gulf,"zatoka, przepaść, rozpadlina, wir"
honor,"honor, zaszczyt, uhonorować, odznaczyć"
comparable,"porównywalny, podobny, zbliżony"
picked,"wybrany, zebrany, wybierać, zrywać"
equilibrium,równowaga
dependence,"zależność, uzależnienie, poleganie"
online,"online, internetowy, w sieci, sieciowy"
nervous,"nerwowy, zdenerwowany"
attractive,"atrakcyjny, pociągający, przyciągający"
lane,"pas ruchu, alejka, tor, ścieżka"
petitioner,"petent, wnioskodawca"
logical,logiczny
tears,łzy
regularly,"regularnie, systematycznie"
progressive,"postępowy, progresywny, stopniowy"
heavily,"ciężko, intensywnie, mocno, obficie"
childhood,dzieciństwo
belong,"należeć, przynależeć, przynależeć do, być czyimś miejscem, czuć się u siebie"
shook,"potrząsnął, wstrząsnął"
belt,"pasek, pas"
concentrated,"skoncentrowany, skoncentrować, skoncentrować się, stężony"
storm,"burza, sztorm, szturm, szturmować"
tape,"taśma, taśma magnetofonowa, nagrywać"
lawyer,"prawnik, prawniczka"
kids,"dzieci, dzieciak, dziecięcy"
retired,"emerytowany, na emeryturze"
landscape,"krajobraz, pejzaż, układ, krajobrazowy, pejzażowy"
gathered,"zebrany, gromadzić, zbierać, zgromadzone"
loose,"luźny, swobodny, rozluźniony, luzem, poluzować, odwiązać, puścić, beztroski, luźno"
enormous,"ogromny, wielki"
socialist,"socjalistyczny, socjalista, socjalistka, socjał"
succeeded,"udać się, odnieść sukces, nastąpić, odniósł sukces"
symbol,symbol
pushed,"popchnięty, popychać, pchnąć"
ruling,"decyzja, orzeczenie, werdykt, postanowienie, liniowanie, liniatura"
fiction,"beletrystyka, literatura piękna, fikcja"
pan,"patelnia, rondel, porcje jedzenia, mieścić się na coś, waga, szalka, muszla klozetowa, panoramować, zjechać, wypłukiwać"
cooling,"chłodzenie, stygnięcie, oziębienie, ochłoda"
mistake,"błąd, pomyłka, pomylić"
crowd,"tłum, gromadzić się, tłoczyć się, napierać, zbliżać się do kogoś"
satisfy,"satysfakcjonować, zadowalać, zaspokajać, spełniać, uwalniać od wątpliwości, zadowolić"
imagination,"wyobraźnia, urojenie"
somewhere,"gdzieś, dokądś"
favour,"faworyzować, sprzyjać, przysługa, uprzejmość"
belonging,"własność, rzecz należąca, dobytek, przynależność"
wider,szerszy
precise,"dokładny, precyzyjny, skrupulatny"
surprised,"zdziwiony, zaskoczony"
laughed,"śmiać się, śmiał się"
tip,"czubek, napiwek, wskazówka, wysypisko śmieci, cynk, informacja, uzyskać, poufnie, wlewać, wylewać, przelewać, wysypywać, wyrzucać, przechylić, wychylić, przeważyć"
max,"maksimum, maksymalnie"
shut,"zamykać, zatrzaskiwać, zamknąć"
earned,"zarobiony ,zarobić, zasłużony"
rating,"ocena, wskaźnik, współczynnik, zaszeregowanie"
instant,"chwila, błyskawiczny, natychmiastowy"
pride,"duma, chluba, pycha, buta, wyniosłość, stado lwów, lew"
stomach,"żołądek, brzuch, apetyt, chęć, strawić, ścierpieć, znieść"
dam,"tama, zapora, samica, rodzicielka, karmić, powstrzymywać uczucia"
violent,"brutalny, gwałtowny, z użyciem przemocy"
convenient,"wygodny, dogodny, poręczny"
appreciate,doceniać
nobody,nikt
slave,"niewolnik, niewolnica"
castle,"zamek, wieża, roszada, wykonywać roszadę"
default,"niewywiązanie się z płatności, zaleganie z płatnością, brak płatności, walkower, domyślna wartość, domyślny, standardowy, zalegać z płatnością, nie uiścić płatności"
leather,"skóra, skórzany"
automatically,automatycznie
wooden,"drewniany, tępy"
desert,"pustynia, opuszczać, porzucić, dezertować"
string,"sznur, sznurek, ciąg, nawlekać, naciągać"
anyway,"jednak, jednakże, mimo to, mimo wszystko, w każdym razie"
mirror,"lustro, zwierciadło, odbijać się, odzwierciedlać, naśladować, kopiować"
visitors,"odwiedzający, goście"
pleasant,"przyjemny, miły"
sake,"powód ,dla dobra, ze względu na, w celu, saké"
destroy,"niszczyć, poniszczyć, zniszczyć, wyniszczać, niweczyć, burzyć, rujnować"
bush,"krzak, krzew"
fails,"nieudaje się, zawodzi, oblać, nie zdać, niepowodzenia"
illegal,"nielegalny, bezprawny, niedozwolony, nieprzepisowy"
throw,"rzucać, rzucić, miotać, ciskać, cisnąć, obrzucać, obrzucić, zrzucać, zrzucić, powalać, powalić, zwalać z nóg, wrzucać, wrzucić, wciskać, naciskać, toczenie na kole garncarskim, rzut"
brand,"marka, znak towarowy, znak fabryczny, rodzaj, gatunek, pochodnia, żagiew, zarzewie, piętno, znakować, wypalać, oznakować, piętnować"
happiness,szczęście
buried,"pochować, pochowany, zakopać, zakopany"
exhibition,wystawa
anywhere,"gdzieś, gdziekolwiek, wszędzie"
advised,"doradzić, zalecić, poinformować, zawiadomić, zalecany, doradzany"
oak,"dąb, dębina, dębowy, leżakować"
essay,"esej, wypracowanie, rozprawka"
receives,"otrzymywać, przyjmować, dostawać, otrzymuje"
reactor,reaktor
atoms,"atom, atomy"
comfortable,"komfortowy, wygodny"
tour,"podróż, wycieczka, podróżować, zwiedzać, objeżdżać"
wool,wełna
battery,"bateria, akumulator, pobicie, zestaw"
parish,parafia
unnecessary,"niepotrzebny, zbędny"
presently,"obecnie, w tej chwili"
mobile,"przenośny, ruchomy, mobilny, telefon komórkowy, komórka"
tied,"związany, zawiązany"
elderly,"osoba starsza, osoby starsze, starszy, w podeszłym wieku"
friendship,przyjaźń
apartment,"mieszkanie, apartament"
stayed,"zostać, pozostać, zatrzymać się, został"
directory,"katalog, spis, książka telefoniczna"
explains,"wyjaśniać, tłumaczyć, wyjaśnia"
plenty,"mnóstwo, wiele, sporo, obfitość"
magic,"magia, magiczny, czarodziejski, tajemniczy"
beer,"piwo, kufel"
roughly,"około, w przybliżeniu, z grubsza, mniej więcej"
shipments,"przesyłka, przesyłki, dostawa, transport, ładunek"
displayed,"wyświetlać, wyświetlony, pokazywać, eksponować, wyświetlany"
argues,"argumentować, twierdzić, sprzeczać się, twierdzi"
shadow,"cień, śledzić, ocieniać, zacieniać"
predicted,"przewidywany, przewidziany, prognozowany"
stuff,"rzecz, przedmiot, wypchać, nadziać, opchać się, rzeczy"
gallery,galeria
static,"statyczny, niezmienny, szum, zakłócenie, szum biały, elektryczność statyczna"
wonder,"cud, zdumienie, dziwić się, zastanawiać się"
drawings,rysunki
campus,kampus
reproduction,"rozmnażanie, reprodukcja, odtwarzanie"
correctly,"poprawnie, prawidłowo, właściwie, bezbłędnie"
disappeared,"zniknąć, zaginąć, zniknął"
forever,"na zawsze, wiecznie, na wieki"
lesser,"mniejszy, pomniejszy, drobniejszy, drugorzędny"
survive,"przetrwać, przeżyć, ostać się, ocaleć"
surprising,"zaskakujący, zadziwiający, niespodziewany"
harvest,"żniwa, żniwo, plon, zbiór, zbierać"
intelligent,inteligentny
creates,"tworzyć, tworzy"
container,"pojemnik, kontener"
flour,mąka
authorization,"upoważnienie, autoryzacja"
anxious,"zaniepokojony, niespokojny, pragnący"
makers,"twórcy, producenci"
explore,"poszukiwać, badać, eksplorować, odkrywać"
fortune,"pomyślność, łut, szczęście, los, przypadek, fortuna"
singing,"śpiew, śpiewanie"
meters,metry
hero,"bohater, bohaterka, heros, główny bohater"
burned,"spalony, wypalony, oparzony"
reveals,"ujawnia, odsłania, wyjawia"
behavioral,behawioralny
suite,"suita, apartament, zestaw, pakiet"
gathering,"zgromadzenie, zebranie"
considers,"rozważa, uważa, bierze pod uwagę"
entertainment,"rozrywka, zabawa"
delayed,opóźniony
succession,"następstwo, kolejność, seria, szereg, sukcesja, tron, majątek spadkowy, dziedziczenie"
hunter,"myśliwy, łowca, gończy, gończak"
portrait,portret
belongs,"należy ,należeć"
cooking,"gotowanie, kuchnia"
insects,"owad, owady"
lamp,lampa
mood,"nastrój, humor, samopoczucie, tryb"
operates,"działać, funkcjonować, obsługiwać, działa"
convenience,"wygoda, dogodność"
activation,"aktywacja, aktywowanie, uczynnienie, uruchomienie"
somebody,ktoś
sandy,"piaszczysty, piaskowaty"
drilling,"wiercenie, wiertnictwo"
unfair,"niesprawiedliwy, nieuczciwy"
uncertain,"niepewny, wątpliwy, nieokreślony"
physically,fizycznie
worry,"troska, zmartwienie, niepokój, martwić, niepokoić, martwić się, niepokoić się"
pursue,"kontynuować, ścigać, dążyć do, realizować"
listing,"lista, spis, wyliczenie, wpis"
badly,"źle, nieprawidłowo, niewłaściwie, mocno, bardzo, ciężko"
marry,"ożenić się, poślubić, wyjść za mąż, wziąć ślub, udzielać ślubu, wydawać za mąż"
continent,"kontynent, powściągliwy, wstrzemięźliwy"
honour,"honor, cześć, uhonorowanie, chwała, zaszczyt, honorować, wyróżniać, odznaczać, uznawać, zaszczycić, oddać hołd"
invention,"wynalazek, wynalezienie, wymysł, pomysłowość, inwencja"
quietly,"cicho, po cichu, spokojnie"
brilliant,"błyszczeć, świecić, iskrzyć, wspaniały, wyjątkowy, oszałamiający, błyskotliwy, genialny, inteligentny"
pronounced,"wymawiać, wyartykułować, wyraźny"
pack,"pakować, pakować się, pakiet, paczka, stado, wataha"
confused,"zakłopotany, zmieszany, skonfundowany, zażenowany, zdezorientowany"
diamond,"diament, karo, diamentowy"
consistently,konsekwentnie
harmony,"harmonia, harmonijność"
overview,"przegląd, przekrój, ogólny opis"
locally,"lokalnie, na miejscu"
communicate,"porozumiewać się, komunikować się, przekazywać informacje, komunikować"
claimant,"powód, roszczący, pretendent, wnioskodawca"
commenced,"rozpocząć, rozpoczęty"
mystery,"tajemnica, zagadka, tajemniczość, misterium"
bench,"ławka, ława, ława przysięgłych, sąd"
gentle,"delikatny, łagodny"
formulation,"formułowanie, sformułowanie"
grateful,"wdzięczny, pełen wdzięczności"
licensing,"licencjonowanie, udzielanie licencji"
creditors,"wierzyciele, kredytodawcy"
cheap,"tani, tandetny, kiczowaty"
honey,"miód, kochanie, ideał"
mad,"chory umysłowo, szalony, wściekły"
prediction,"prognozowanie, predykcja, przewidywanie, prognoza"
locality,"lokalizacja, położenie, miejsce, okolica, region"
enters,"wchodzi, wstępuje"
inland,"wewnętrzny, krajowy, śródlądowy, w głębi lądu"
peaceful,"spokojny, pokojowy"
romantic,"romantyk, romantyczka, romantyczny, miłosny"
distinctive,"charakterystyczny, wyróżniający się"
annum,"rok, rocznie"
locked,"zablokowany, zamknięty na klucz, zaryglowany"
wedding,"ślub, wesele"
designation,"określenie, wyznaczenie, oznaczenie, desygnowanie"
clearing,"rozrachunek, kliring, polana, rozliczenie"
drill,"wiertarka, wiertło, drelich, ćwiczyć, wiercić"
matching,"dopasowanie, pasujący"
floating,"pływający, unoszący się"
basically,"zasadniczo, w zasadzie, w gruncie rzeczy"
commentary,komentarz
controller,kontroler
worried,"zaniepokojony, zmartwiony, zatroskany"
fisher,"rybak, wędkarz, kuna borsuczkowa"
stairs,schody
pile,"stos, sterta, hałda, kupka, gromadzić, piętrzyć"
blow,"dmuchać, wiać, eksplodować, cios, uderzenie"
egyptian,"egipski, Egipcjanin"
promising,"obiecujący, rokujący dobrze, dający nadzieję"
shade,"cień, odcień, zasłona, ocieniać, cieniować"
inconsistent,"niespójny, niekonsekwentny, nielogiczny, niezgodny, sprzeczny"
angel,"anioł, anioł inwestor, sponsor, dobroczyńca"
unlawful,"nielegalny, niedozwolony, bezprawny, nieślubny, niezgodny z prawem"
disturbed,"zaniepokojony, zakłócony, wzburzony, wytrącony z równowagi"
differently,"inaczej, odmiennie"
classic,"klasyczny, typowy, klasyk, klasyka"
talent,"talent, uzdolnienie"
successor,"następca, sukcesor, spadkobierca"
rope,"lina, sznur, przywiązywać"
menu,"menu, karta dań"
verb,czasownik
pour,"nalewać, nalać, wlewać, wlać, lać się, odlewać, odlać"
counting,"zliczanie, liczenie"
protestant,"protestant, protestujący"
develops,"rozwijać, rozwija, opracowywać, opracowuje, rozwija się"
handicapped,"upośledzony, niepełnosprawny"
reminded,"przypominać, przypomniany, przypomniał"
audio,"audio, dźwiękowy, akustyczny, zapisywać dźwięk, odtwarzać dźwięk, przetwarzać dźwięk, wzmacniać dźwięk, przesyłać dźwięk, fonia"
trap,"pułapka, podstęp, morda, buzia, syfon, zatrzasnąć, utknąć, złapać w potrzasku, być uwięzionym"
expressly,"wyraźnie, ewidentnie, specjalnie"
unpublished,"nieopublikowany, niepublikowany"
metallic,metaliczny
planet,planeta
bits,"bity, kawałki, odrobiny"
confident,pewny siebie
stranger,"nieznajomy, nieznajoma, obcy, obca"
fence,"płot, parkan, ogrodzenie, barierka, ogradzać, ogrodzić, uprawiać szermierkę, fechtować"
clearance,"zgoda, pozwolenie, zezwolenie, prześwit, wolne miejsce, oczyszczanie, usuwanie, odprawa celna, rozliczenie, czyścić, oczyszczać"
consistency,"konsystencja, gęstość, konsekwencja, niesprzeczność, logika, zwięzłość, zwartość, spójność"
complained,"narzekać, skarżyć się, skarżył się"
printer,"drukarka, drukarz"
judged,"sądzić, oceniać, osądzać, oceniony, osądzony"
creature,"istota, stworzenie, stwór, kreatura, twór, postać"
inspiration,"inspiracja, natchnienie, wdech"
lover,"wielbiciel, ukochany, kochanek, amant, miłośnik, amator"
conditioning,"odżywka, warunkowanie, uwarunkowanie, kondycjonowanie"
click,"kliknięcie, klikać, kliknij"
stationary,"stacjonarny, nieruchomy"
customary,"zwyczajny, zwyczajowy"
photography,"fotografika, fotografia"
directive,dyrektywa
alarm,"alarm, budzik, alarmować"
boss,"szef, szefowa, przełożony, boss"
dies,"umierać, umiera"
globe,"kula, globus, planeta, Ziemia, kula ziemska"
noon,południe
rush,"pędzić, śpieszyć się, pęd, pośpiech, sitowie"
coin,"moneta, wymyślać, wymyślić"
lending,"pożyczanie, udzielanie pożyczek"
leisure,"wypoczynek, czas wolny, rekreacja"
anniversary,"rocznica, obchody"
envelope,"koperta, powłoka, obwiednia"
activated,"aktywowany, uruchomiony"
rhythm,rytm
pricing,"cenowanie, wycena, ustalanie cen"
asleep,"śpiący, we śnie, zdrętwiały"
golf,"golf, gra w golfa, golfowy"
diary,"pamiętnik, dziennik, diariusz"
pepper,"papryka, pieprz"
texture,"faktura, tekstura"
crazy,"szalony, zwariowany, wariacki, szalenie"
donor,"dawca, dawczyni, ofiarodawca, donator, ofiarodawczyni, darczyńca"
deformation,"deformacja, odkształcenie"
nonlinear,nieliniowy
painter,"malarz, malarka"
singular,"liczba pojedyncza, pojedynczy, niezwykły, wyjątkowy, osobliwy"
hate,"nienawidzić, nienawiść"
romance,"romans, romansować"
tourist,"turysta, turystka"
oven,"piekarnik, piec"
shouted,"krzyczeć, krzyknąć, krzyczał"
soap,"mydło, opera mydlana, mydlić"
chin,"broda, podbródek"
jumped,"skakać, skoczyć, skoczył"
fortunately,"na szczęście, szczęśliwie, pomyślnie"
vocabulary,słownictwo
adventure,przygoda
sinking,"tonięcie, zatapianie"
commencement,"początek, rozpoczęcie, uroczystość, rozdanie dyplomów"
cigarette,papieros
perfection,"doskonałość, perfekcja, doskonalenie"
seemingly,"pozornie, niby, jakoby"
packaging,"opakowanie, pakowanie, konfekcjonowanie"
brake,"hamulec, gąszcz, zarośla, hamować"
systemic,"systemowy, ogólnoustrojowy"
screw,"śruba, wkręt, przykręcać, przymocowywać, pieprzyć, robić kogoś, oszukiwać, zapomnieć, zignorować"
cheek,"policzek, bezczelność, tupet"
slide,"poślizgnąć się, osuwać się, wsunąć, zjeżdżalnia, slajd"
kissed,"całować, pocałować, pocałował"
formulated,"formułować, sformułować, sformułowany"
pity,"litość, współczuć, żałować, współczucie"
elevator,winda
weighing,ważenie
brave,odważny
fork,"widelec, widły, widełki, rozwidlenie, rozgałęzienie, odnoga, rozwidlać się"
beg,"błagać, żebrać, błaganie"
horror,"przerażenie, groza, zgroza, wstręt, odraza, horror, film grozy"
midnight,północ
script,"skrypt, scenariusz, tekst, rękopis, arkusz egzaminacyjny, pismo"
prevents,"zapobiega, uniemożliwia"
episode,"epizod, odcinek"
licence,licencja
nationalism,nacjonalizm
earthquake,trzęsienie ziemi
stolen,"skradziony, ukradziony"
appliances,"urządzenia, sprzęt"
miners,"górnicy, kopacze"
reproductive,"reprodukcyjny, rozrodczy"
instrumental,"pomocny, instrumentalny, narzędnik"
fool,"głupek, błazen, oszukać, nabrać, zwieść"
israeli,"izraelski, Izraelczyk, Izraelka"
blame,"wina, winić, obwiniać"
nearer,bliżej
lend,"pożyczać, pożyczyć"
advertisement,"reklama, ogłoszenie, anons"
mysterious,tajemniczy
softly,"delikatnie, lekko, łagodnie, cicho, miękko"
sewer,"kanał ściekowy, kanalizacja, krawiec, krawcowa"
basket,"kosz, koszyk"
harmful,szkodliwy
bonus,"bonus, premia, korzyść"
quit,"opuszczać, odchodzić, rezygnować, rzucić"
semester,semestr
dietary,dietetyczny
ancestors,"przodek, przodkowie"
fare,"pasażer, opłata za przejazd, jedzenie, danie, podróżować, jeść, radzić sobie"
establishes,"ustanawiać, zakładać, nawiązywać, ugruntowywać, ustanawia"
uniformity,"jednolitość, jednorodność, ujednolicenie"
uniformly,"jednolicie, jednostajnie"
bride,"panna młoda, narzeczona, oblubienica"
resin,żywica
factual,"faktyczny, oparty na faktach"
plantation,plantacja
soda,"soda, woda sodowa, napój gazowany"
secretion,"sekrecja, wydzielanie"
troubled,"zatroskany, przygnębiony, przybity, zmartwiony"
sauce,sos
tune,"melodia, piosenka, dostrajać, stroić, regulować, nuta"
invented,"wynaleźć, wynaleziony"
blanket,"koc, pled, filc, warstwa, ogólny, bezwarunkowy, pokrywać, przykrywać, maskować"
medal,medal
disadvantage,"niedogodność, wada, szkoda"
relaxed,"zrelaksowany, odprężony, swobodny"
frightened,"przestraszony, wystraszony"
accountability,odpowiedzialność
supper,"kolacja, przekąska przed snem"
licensee,"licencjobiorca, koncesjonariusz"
bloom,"kwitnąć, rozkwitać, kwiat, kwitnienie"
sunlight,"światło słoneczne, blask słońca"
treasure,"skarbiec, skarb, cenić, pielęgnować"
anymore,"już nie, nigdy więcej, nie więcej, już"
importantly,"istotnie, ważnie, znacząco"
realised,"zdać sobie sprawę, uświadomić sobie, zrealizowany"
kit,"zestaw, komplet, ekwipunek, strój, ubiór"
organised,"organizować, zorganizować, zorganizowany"
panic,"panika, popłoch, panikować, wywoływać panikę"
shining,"lśnienie, błyszczący, lśniący"
signing,"podpisywanie, sygnowanie"
awful,okropny
judging,"osądzanie, ocenianie, sądzić, oceniać, ocena"
garage,"garaż, warsztat, garażować"
creativity,kreatywność
cheaper,tańszy
noun,rzeczownik
grouped,"grupować, grupowany, zgrupowane"
unhappy,"nieszczęśliwy, niezadowolony"
hypotheses,"hipoteza, hipotezy"
interviewed,"przeprowadzić wywiad, przesłuchiwać, przesłuchany"
simplest,najprostszy
markedly,wyraźnie
statue,"posąg, statua, pomnik"
ambition,"ambicja, pragnienie"
disappointed,"rozczarowany, zawiedziony"
folder,"skoroszyt, teczka, folder"
sends,"wysyła, posyła"
countryside,"wieś, okolica, teren wiejski"
batch,"partia, seria, porcja, wsad, wsadowy, nieinteraktywny"
composer,"kompozytor, kompozytorka"
robin,rudzik
downtown,"centrum miasta, śródmieście, śródmiejski, w centrum"
shots,"strzały, zastrzyki, ujęcia"
avoidance,"unikanie, uchylanie się, omijanie"
resultant,"wynikowy, wypadkowa, wynikający, wynik"
dependency,"zależność, zależność, terytorium zależne, moduł zależny"
allowable,"dopuszczalny, dozwolony"
secretariat,sekretariat
methodist,"metodysta, metodystka, metodyk"
